cpse_id,material_code,material_description,material_long_text,material_group_code,material_group_description,uom,manufacturer,plant_or_location,unit_price,currency,source_system,created_date,_true_material_id,_variant_style
SAIL,STL-ALT-004955,GLOBE VALVE SS304 DN200 CLASS 300 BS 5351,Application: industrial service. Material: SS304. Size: 200 mm. Pressure class: 300. Standard: BS 5351.,VLV-10,Flow Control Valves,PCS,Kirloskar,,189601.32,INR,SAP_ECC,2023-10-21,MAT_00409,partial_description
NTPC,NTP-ELE-706893,TERMINAL BLOCK COPPER NOMINAL BORE 6 CLASS 690V IEC 60898,Application: industrial service. Material: Copper. Size: 6 mm. Pressure class: 690V. Standard: IEC 60898. ,ELC-130,Electrical Switchgear & Components,PCS,ABB,Korba,25315.88,INR,SAP_ECC,2023-06-11,MAT_05984,verbose
IOCL,IOC-PIP-704343,ERW PIPE IS 1239 ASTM A312 TP316 250NB SCH 160,Application: industrial service. Material: ASTM A312 TP316. Size: 250 mm. Standard: IS 1239. ,PIP-20,Piping Materials,RM,,Barauni,4518.71,INR,SAP_S4,2020-12-14,MAT_03434,reordered
SAIL,STL-CAB-702119,ALUMINIUM PVC ARMOURED CABLE 1C 10 SQMM IEC 60502,,CBL-80,Electrical Cables,M,Finolex,Durgapur,,,SAP_S4,2024-01-30,MAT_01210,reordered
CPCL,CPC-ALT-004390,AC INDUCTION MOTOR 5.5KW 960RPM FRAME 132 IS,Application: industrial service. Material: Copper/Aluminium. Size: 132 mm. Standard: IS 12615. Manufacturer: Baldor. Power Kw: 5.5. Rpm: 960.,MTR-70,Electrical Motors,PCS,Baldor,Chennai Refinery,69434.74,INR,LEGACY_ERP,2017-01-24,MAT_00427,missing_spec
CPCL,CPC-CAB-00051,XLPE ARMOURED CABLE 2C 2.5 SQMM COPPER IS 7098,Application: industrial service. Material: Copper. Size: 2.5 mm. Standard: IS 7098. Cores: 2.,CBL-80,Electrical Cables,MTR,Havells,Manali,,,CUSTOM_ERP,2025-08-21,MAT_00051,standard_included
CPCL,CPC-PIP-703852,ASTM A106 GR.B CS PIPE,Application: industrial service. Material: ASTM A106 GR.B. Size: 300 mm. Standard: API 5L. ,PIP-20,Piping Materials,MTR,ISMT,Manali,2688.14,INR,SAP_ECC,2016-09-16,MAT_02943,partial_description
ONGC,OGC-BEA-700859,"GLOBE VALVE DI 1"" CLASS 150 BS 5351",Application: industrial service. Material: Bearing Steel. Size: 30 mm. Standard: ISO 15. ,BRG-40,Rotating Equipment Bearings,EA,FAG,Ahmedabad,60495.34,INR,SAP_S4,2024-02-05,MAT_00123,noisy_erp
IOCL,IOC-ELE-702406,TERMINAL BLOCK COPPER DN16 CL415V IS 13947 MFR ABB,Application: industrial service. Material: Copper. Size: 16 mm. Pressure class: 415V. Standard: IS 13947. Manufacturer: ABB.,ELC-130,Electrical Switchgear & Components,EA,,,28161.57,INR,SAP_S4,2024-11-01,MAT_01497,vendor_included
ONGC,OGC-INS-00083,FLOW TRANSMITTER SS316 25MM IEC 60770,Application: industrial service. Material: SS316. Size: 25 mm. Standard: IEC 60770. Manufacturer: Emerson.,INS-120,Instrumentation,NOS,Emerson,Uran,77364.86,INR,SAP_ECC,2023-09-20,MAT_00083,standard_included
IOCL,IOC-ALT-004571,XLPE  ARMOURED  CABLE  3C  2.5  SQMM  COPPER  IS  7098 ITEM,,CBL-80,Electrical Cables,MTR,Polycab,Gujarat,346.16,INR,SAP_ECC,2018-05-06,MAT_00236,abbreviation_variation
CPCL,CPC-GAS-708374,PTFE GASKET SS304/GRAPHITE,Application: industrial service. Material: SS304/Graphite. Size: 200 mm. Pressure class: 150. Standard: API 6A. Manufacturer: James Walker.,GSK-50,Sealing & Gasket Materials,PCS,James Walker,Chennai Refinery,10013.95,INR,SAP_S4,2020-03-09,MAT_07465,partial_description
SAIL,STL-VAL-708934,CHECK VALVE DI DN15 CL600 ASME B16.34,Application: industrial service. Material: DI. Size: 15 mm. Pressure class: 600. Standard: ASME B16.34. ,VLV-10,Flow Control Valves,PCS,Kirloskar,,95624.1,INR,SAP_ECC,2019-02-20,MAT_08025,abbreviated
CPCL,CPC-CAB-705507,POWER CABLE / 1C 16 SQMM ALUMINIUM IEC 60502,Application: industrial service. Material: Aluminium. Size: 16 mm. Standard: IEC 60502. ,CBL-80,Electrical Cables,RM,KEI,Manali,1837.29,INR,CUSTOM_ERP,2017-10-19,MAT_04598,mixed_format
NTPC,NTP-ALT-004642,XLPE ARMOURED CABLE 4C 10 SQMM COPPER IS 7098,Application: industrial service. Material: Copper. Size: 10 mm. Standard: IS 7098. Cores: 4.,CBL-80,Electrical Cables,M,KEI,Dadri,586.27,INR,CUSTOM_ERP,2018-12-18,MAT_00377,unit_variation
NTPC,NTP-ALT-004922,GLOBE VALVE SS304 200MM CL 300 BS 5351,Application: industrial service. Material: SS304. Size: 200 mm. Pressure class: 300. Standard: BS 5351. Manufacturer: KSB.,VLV-10,Flow Control Valves,EA,KSB,Singrauli,109797.77,INR,SAP_S4,2024-06-05,MAT_00409,missing_spec
ONGC,OGC-PUM-708189,CENTRIFUGAL PUMP CAST IRON NOMINAL BORE 150 API 610,,PMP-60,Pumps & Pump Spares,SET,Kirloskar Brothers,Hazira,313851.03,INR,LEGACY_ERP,2025-01-11,MAT_07280,verbose
SAIL,STL-INS-701401,6200 70MM SPHERICAL ROLLER BRG ISO 15,,INS-120,Instrumentation,NOS,,Durgapur,147104.79,INR,SAP_S4,2015-09-01,MAT_00248,partial_description
NTPC,NTP-FAS-701841,STUD BOLT ASTM A193 B7 M10 X 100MM IS 1363,,FST-90,Fasteners,EA,Sundram Fasteners,Korba,270.22,INR,SAP_MM,2016-06-16,MAT_00932,typo_injected
ONGC,OGC-ALT-004602,SS316 PIPE 50MM SCH 40 IS 1239,Application: industrial service. Material: SS316. Siez: 50 mm. Standard: IS 1239. Schedule: 40.,PIP-20,Piping Materials,MTR,,Uran,320.3,INR,CUSTOM_ERP,2024-11-04,MAT_00443,mixed_format
SAIL,STL-ALT-003313,GATE VALVE SS304 25MM CLASS 600 BS 5351,Application: industrial service. Material: SS304. Size: 25 mm. Pressure class: 600. Standard: BS 5351.,VLV-10,Flow Control Valves,NOS,KSB,Bokaro,110895.14,INR,SAP_MM,2017-03-11,MAT_00075,unit_variation
IOCL,IOC-PUM-702867,PROCESS  PUMP  CAST  STEEL  DN150  API  610,Application: industrial service. Material: Cast Steel. Size: 150 mm. Standard: API 610. Manufacturer: Sulzer.,PMP-60,Pumps & Pump Spares,SET,Sulzer,Barauni,752814.47,INR,CUSTOM_ERP,2025-01-17,MAT_01958,noisy_erp
NTPC,NTP-ALT-003760,HEX HEAD BOLT SS304 M24 X 150MM IS 1363,Application: industrial service. Material: SS304. Size: 24 mm. Standard: IS 1363. Lentgh Mm: 150.,FST-90,Fasteners,EA,LPS Bossard,,42.05,INR,SAP_ECC,2020-12-13,MAT_00145,unit_variation
NTPC,NTP-ALT-002799,"B16.34 GATE SS316 3"" 300 VALVE CLASS ASME",Application: industrial service. Material: SS316. Size: 80 mm. Pressure class: 300. Standard: ASME B16.34. Manufacturer: Forbes Marshall.,VLV-10,Flow Control Valves,EA,Forbes Marshall,Korba,104184.58,INR,CUSTOM_ERP,2018-02-27,MAT_00104,reordered
IOCL,IOC-PUM-702384,SLURRY  PUMP  SS304  DN80  API  674 -,Application: industrial service. Material: SS304. Size: 80 mm. Standard: API 674. ,PMP-60,Pumps & Pump Spares,NOS,Grundfos,Paradip,,,SAP_MM,2019-07-19,MAT_01475,noisy_erp
IOCL,IOC-ALT-003273,SPIRAL WOUND GASKET GRAPHITE/PTFE 150MM ASME B16.20,Application: industrial service. Material: Graphite/PTFE. Size: 150 mm. Pressure class: 300. Standard: ASME B16.20. Manufacturer: James Walker.,GSK-50,Sealing & Gasket Materials,NOS,James Walker,Gujarat,1299.8,INR,SAP_S4,2021-11-27,MAT_00382,abbreviation_variation
SAIL,STL-ALT-004226,50 SQMM IS 7098 2C COPPER XLPE ARMOURED CABLE,Application: industrial service. Material: Copper. Size: 50 mm. Standard: IS 7098. Manufacturer: RR Kabel. Cores: 2.,CBL-80,Electrical Cables,MTR,RR Kabel,Bhilai,928.33,INR,CUSTOM_ERP,2024-06-25,MAT_00099,mixed_format
ONGC,OGC-SEA-701174,PROCESS STEEL/SS FILTER 614 API CARBON 30MM,Application: industrial service. Material: PTFE. Size: 50 mm. Standard: ISO 3069. Manufacturer: Freudenberg.,SEL-110,Mechanical Seals,NOS,Freudenberg,Ahmedabad,233.1,INR,SAP_ECC,2024-07-13,MAT_00094,reordered
CPCL,CPC-ALT-004828,CS PIPE 25NB SCH80 IS 1239,,PIP-20,Piping Materials,RM,,Manali,1007.37,INR,CUSTOM_ERP,2023-01-17,MAT_00186,abbreviated
ONGC,OGC-FAS-708055,STUD  BOLT  SS304  M12  X  125MM  IS  1364,Application: industrial service. Material: SS304. Size: 12 mm. Standard: IS 1364. Manufacturer: LPS Bossard.,FST-90,Fasteners,PCS,LPS Bossard,Mumbai Offshore,874.94,INR,SAP_S4,2015-06-05,MAT_07146,noisy_erp
CPCL,CPC-ELE-705719,CONTACTOR POLYAMIDE DN100 CL415V IEC 60898,,ELC-130,Electrical Switchgear & Components,NOS,L&T,,69879.96,INR,LEGACY_ERP,2020-07-25,MAT_04810,typo_injected
SAIL,STL-INS-702959,PRESSURE TRANSMITTER / SS304 DN25 IEC 61508,,INS-120,Instrumentation,NOS,ABB,Bhilai,297964.6,INR,SAP_ECC,2017-09-26,MAT_02050,mixed_format
IOCL,IOC-CAB-700431,AC INUCTION MOTOR 45KW,Application: industrial service. Material: Aluminium. Size: 120 mm. Standard: IS 7098. ,CBL-80,Electrical Cables,M,RR Kabel,Panipat,,,SAP_ECC,2019-11-29,MAT_00212,typo_injected
SAIL,STL-ALT-004556,PIPE 160 1239 100MM SS316 SCH IS,Application: industrial service. Material: SS316. Size: 100 mm. Standard: IS 1239. Manufacturer: Welspun. Schedule: 160.,PIP-20,Piping Materials,MTR,Welspun,Bokaro,5468.85,INR,SAP_MM,2019-07-04,MAT_00002,reordered
CPCL,CPC-FLA-702381,WELD NECK FLANGE SS316 DN200 CL150 ASME B16.5,Application: industrial service. Material: SS316. Size: 200 mm. Pressure class: 150. Standard: ASME B16.5. Manufacturer: Jindal.,FLG-30,Pipe Flanges & Fittings,PCS,Jindal,Manali,6861.65,INR,SAP_ECC,2018-03-12,MAT_01472,abbreviation_variation
NTPC,NTP-FLA-00007,"WELD  NECK  FLANGE  SS304  6""  CL  600  ASME  B16.47",Application: industrial service. Material: SS304. Size: 150 mm. Pressure class: 600. Standard: ASME B16.47. Manufacturer: Viraj Profiles.,FLG-30,Pipe Flanges & Fittings,NOS,Viraj Profiles,,,,SAP_S4,2025-05-13,MAT_00007,noisy_erp
SAIL,STL-BEA-703203,22200 ANGULAR CONTACT BEARING BORE 40MM ISO 199 MFR NSK,Application: industrial service. Material: Bearing Steel. Size: 40 mm. Standard: ISO 199. Manufacturer: NSK.,BRG-40,Rotating Equipment Bearings,PCS,NSK,Bhilai,31673.65,INR,LEGACY_ERP,2025-10-16,MAT_02294,vendor_included
CPCL,CPC-MOT-708224,TEFC  MOTOR  COPPER  WOUND  110KW  1450RPM  FRAME  200  IS  12615,Application: industrial service. Material: Copper Wound. Size: 200 mm. Standard: IS 12615. ,MTR-70,Electrical Motors,SET,Baldor,Manali,201006.99,INR,CUSTOM_ERP,2023-06-23,MAT_07315,noisy_erp
ONGC,OGC-VAL-00279,GLOBE VALVE API 6D CL 300 SS316 200MM,Application: industrial service. Material: SS316. Size: 200 mm. Pressure class: 300. Standard: API 6D. Manufacturer: Forbes Marshall.,VLV-10,Flow Control Valves,NOS,Forbes Marshall,Hazira,237038.09,INR,SAP_ECC,2019-07-20,MAT_00279,reordered
CPCL,CPC-FAS-705650,PLAIN WASHER 8.8 M36 X 50MM ASTM A193,Application: industrial service. Material: 8.8. Size: 36 mm. Standard: ASTM A193. ,FST-90,Fasteners,PCS,TVS,Nagapattinam,722.34,INR,CUSTOM_ERP,2022-09-22,MAT_04741,verbose
ONGC,OGC-FAS-705422,HEX HEAD BOLT 10.9 M6 X 75MM IS 1363,Application: industrial service. Material: 10.9. Size: 6 mm. Standard: IS 1363. ,FST-90,Fasteners,EA,Precision Fasteners,Hazira,981.61,INR,LEGACY_ERP,2021-12-15,MAT_04513,standard_included
CPCL,CPC-FAS-709227,HEAVY HEX BOLT 8.8,Application: industrial service. Material: 8.8. Size: 6 mm. Standard: IS 1364. ,FST-90,Fasteners,PCS,,Nagapattinam,999.64,INR,SAP_MM,2022-11-19,MAT_08318,partial_description
NTPC,NTP-ALT-003069,"CS PIPE 8"" SCH 160 ASTM",Application: industrial service. Material: CS. Size: 200 mm. Standard: ASTM A312. Schedule: 160.,PIP-20,Piping Materials,RM,,Dadri,3117.42,INR,SAP_S4,2025-04-27,MAT_00275,missing_spec
ONGC,OGC-FAS-710468,HEX  HEAD  BOLT  SS304  M12  X  50MM  IS  1363,Application: industrial service. Material: SS304. Size: 12 mm. Standard: IS 1363. Manufacturer: Sundram Fasteners.,FST-90,Fasteners,EA,Sundram Fasteners,Hazira,196.28,INR,LEGACY_ERP,2026-03-08,MAT_09559,noisy_erp
ONGC,OGC-MOT-706247,AC INDUCTION MOTOR COPPER WOUND 11KW 960RPM FRAME 250 IEC 60034,Application: industrial service. Material: Copper Wound. Size: 250 mm. Standard: IEC 60034. ,MTR-70,Electrical Motors,SET,,Ahmedabad,494992.42,INR,SAP_S4,2023-09-22,MAT_05338,unit_variation
NTPC,NTP-MOT-704534,AC INDUCTION MOTOR ALUMINIUM WOUND 110KW 906RPM FRAME 112 IEC 60034,Application: industrial service. Material: Aluminium Wound. Size: 112 mm. Standard: IEC 60034. Manufacturer: BHEL.,MTR-70,Electrical Motors,EA,BHEL,,84352.27,INR,LEGACY_ERP,2018-06-25,MAT_03625,typo_injected
SAIL,STLFLA00140,WELD  NECK  FLANGE  SS316  80MM  CL  600  ASME  B16.47,Application: industrial service. Material: SS316. Size: 80 mm. Pressure class: 600. Standard: ASME B16.47. Manufacturer: Viraj Profiles.,FLG-30,Pipe Flanges & Fittings,NOS,Viraj Profiles,,40544.18,INR,SAP_ECC,2016-02-22,MAT_00140,noisy_erp
SAIL,STL-GAS-700585,HEX HEAD BOLT SS304 M6 X 150MM IS 1363 MFR PRECISION FASTENERS,Application: industrial service. Material: CAF. Size: 40 mm. Pressure class: 900. Standard: ASME B16.21. ,GSK-50,Sealing & Gasket Materials,PCS,,Bhilai,,,SAP_S4,2023-04-15,MAT_00025,verbose
CPCL,CPC-CAB-705469,XLPE ARMOURED CABLE 3C 50 SQMM COPPER IS 7098,Application: industrial service. Material: Copper. Size: 50 mm. Standard: IS 7098. ,CBL-80,Electrical Cables,RM,,Nagapattinam,604.71,INR,SAP_S4,2024-07-05,MAT_04560,unit_variation
SAIL,STL-FIL-709165,"OIL FILTER SS316 0.75"" API 614",Application: industrial service. Material: SS316. Size: 20 mm. Standard: API 614. Manufacturer: Pall.,FLT-100,Filtration Materials,EA,Pall,Bhilai,38594.71,INR,SAP_MM,2016-08-24,MAT_08256,unit_variation
IOCL,IOC-FLA-700879,IS 1363 M10 X 50MM SS304 HEX HEAD,Application: industrial service. Material: SS304. Size: 200 mm. Pressure class: 600. Standard: ASME B16.5. Manufacturer: Jindal.,FLG-30,Pipe Flanges & Fittings,PCS,Jindal,,18841.71,INR,SAP_MM,2026-03-14,MAT_00261,missing_spec
SAIL,STL-ALT-003452,BUTTERFLY VALVE S3S16 DN200 CLASS 150 BS 5351,Application: industrial service. Material: SS316. Size: 200 mm. Pressure class: 150. Standard: BS 5351.,VLV-10,Flow Control Valves,PCS,Kirloskar,Rourkela,94597.48,INR,LEGACY_ERP,2021-02-21,MAT_00354,typo_injected
CPCL,CPC-PIP-706190,API 5L GR.B SEAMLESS PIPE 25NB SCH 160 ASTM A106,Application: industrial service. Material: API 5L GR.B. Size: 25 mm. Standard: ASTM A106. Manufacturer: Ratnamani Metals.,PIP-20,Piping Materials,M,Ratnamani Metals,Ennore,5834.04,INR,CUSTOM_ERP,2025-05-19,MAT_05281,unit_variation
ONGC,OGC-MOT-708179,SQUIRREL CAGE MOTOR COPPER WOUND 110KW 1450RPM FRAME 132 IEC 60034,Application: industrial service. Material: Copper Wound. Size: 132 mm. Standard: IEC 60034. Manufacturer: BHEL.,MTR-70,Electrical Motors,NOS,BHEL,Uran,643710.93,INR,SAP_S4,2024-01-03,MAT_07270,unit_variation
CPCL,CPC-ALT-003129,CS PIPE,,PIP-20,Piping Materials,M,Jindal SAW,,1253.29,INR,CUSTOM_ERP,2017-01-05,MAT_00325,standard_included
CPCL,CPC-VAL-00178,"BALL VALVE DI 6"" CL 600 API 6D",Application: industrial service. Material: DI. Size: 150 mm. Pressure class: 600. Standard: API 6D. Mnufacturer: Kirloskar.,VLV-10,Flow Control Valves,NOS,,Chennai Refinery,27896.52,INR,SAP_S4,2021-04-13,MAT_00178,typo_injected
ONGC,OGC-ELE-702173,FUSE THERMOPLASTIC DN40 CL440V IEC 60898 MFR SCHNEIDER ELECTRIC,Application: industrial service. Material: Thermoplastic. Size: 40 mm. Pressure class: 440V. Standard: IEC 60898. ,ELC-130,Electrical Switchgear & Components,NOS,Schneider Electric,Mumbai Offshore,79161.14,INR,SAP_ECC,2021-08-08,MAT_01264,vendor_included
NTPC,NTP-MOT-709048,SQUIRREL CAGE MOTOR 11KW 2900RPM FRAME 180 IS 12615,Application: industrial service. Material: Aluminium Wound. Size: 180 mm. Standard: IS 12615. Manufacturer: ABB.,MTR-70,Electrical Motors,EA,ABB,Singrauli,484220.31,INR,SAP_MM,2021-04-29,MAT_08139,missing_spec
SAIL,STL-BEA-705398,6200  DEEP  GROOVE  BALL  BEARING  BORE  90MM  ISO  492 -,Application: industrial service. Material: Bearing Steel. Size: 90 mm. Standard: ISO 492. ,BRG-40,Rotating Equipment Bearings,PCS,Timken,Durgapur,60290.34,INR,LEGACY_ERP,2026-07-06,MAT_04489,noisy_erp
CPCL,CPC-FLA-704605,SLIP ON FLNGE ASTM A350 LF2 DN200 CL900 ASME B16.47,Application: industrial service. Material: ASTM A350 LF2. Size: 200 mm. Pressure class: 900. Standard: ASME B16.47. Manufacturer: Jindal.,FLG-30,Pipe Flanges & Fittings,PCS,Jindal,Chennai Refinery,11093.2,INR,LEGACY_ERP,2017-01-09,MAT_03696,typo_injected
ONGC,OGC-FAS-707871,HEX HEAD BOLT SS304 IS 1363,Application: industrial service. Material: SS304. Size: 16 mm. Standard: IS 1363. Manufacturer: LPS Bossard.,FST-90,Fasteners,NOS,LPS Bossard,Ahmedabad,1103.89,INR,SAP_ECC,2019-08-01,MAT_06962,missing_spec
SAIL,STL-FLA-704411,SLIP ON FLANGE SS316 DN300 CL300 ASME B16.47 MFR VIRAJ PROFILES,Application: industrial service. Material: SS316. Size: 300 mm. Pressure class: 300. Standard: ASME B16.47. Manufacturer: Viraj Profiles.,FLG-30,Pipe Flanges & Fittings,EA,Viraj Profiles,Bhilai,2254.95,INR,SAP_ECC,2024-07-06,MAT_03502,vendor_included
IOCL,IOC-VAL-710177,NEEDLE VALVE / DI DN40 CL150 BS 5351,Application: industrial service. Material: DI. Size: 40 mm. Pressure class: 150. Standard: BS 5351. ,VLV-10,Flow Control Valves,NOS,Forbes Marshall,,132051.62,INR,CUSTOM_ERP,2024-08-23,MAT_09268,mixed_format
ONGC,OGC-ALT-005023,BALL API 150NB VLV SS316 6D CL150,Application: industrial service. Material: SS316. Size: 150 mm. Pressure class: 150. Standard: API 6D. Manufacturer: KSB.,VLV-10,Flow Control Valves,NOS,,Uran,107647.78,INR,LEGACY_ERP,2025-12-25,MAT_00115,reordered
ONGC,OGC-ALT-004992,BALL VLV SS304 15NB CL600 API 6D,,VLV-10,Flow Control Valves,PCS,L&T Valves,,196866.22,INR,SAP_MM,2021-01-31,MAT_00297,unit_variation
SAIL,STL-FLA-700951,BALL VLV CS 200NB CL600 API 6D,Application: industrial service. Material: ASTM A350 LF2. Size: 25 mm. Pressure class: 150. Standard: ASME B16.47. ,FLG-30,Pipe Flanges & Fittings,PCS,,Rourkela,39263.57,INR,SAP_ECC,2025-01-25,MAT_00324,partial_description
CPCL,CPC-FIL-707393,STRAINER CARBON STEEL DN100 API 614 MFR PARKER,Application: industrial service. Material: Carbon Steel. Size: 100 mm. Standard: API 614. Manufacturer: Parker.,FLT-100,Filtration Materials,EA,Parker,Ennore,23765.2,INR,SAP_MM,2022-08-26,MAT_06484,vendor_included
SAIL,STL-FLA-00425,"WELD NECK FLANGE SS316 4"" CL 600 ASME B16.5",Application: industrial service. Material: SS316. Size: 100 mm. Pressure class: 600. Standard: ASME B16.5. Manufacturer: Guru Gautam Steels.,FLG-30,Pipe Flanges & Fittings,NOS,Guru Gautam Steels,,42976.57,INR,SAP_MM,2021-03-31,MAT_00425,typo_injected
NTPC,NTP-ELE-702301,FUSE POLYAMIDE DN6 CL440V IEC 60898,Application: industrial service. Material: Polyamide. Size: 6 mm. Pressure class: 440V. Standard: IEC 60898. Manufacturer: Schneider Electric.,ELC-130,Electrical Switchgear & Components,PCS,Schneider Electric,Korba,40900.15,INR,SAP_ECC,2022-08-29,MAT_01392,typo_injected
SAIL,STL-ELE-706167,FUSE COPPER DN10 CL415V IEC 60947,Application: industrial service. Material: Copper. Size: 10 mm. Pressure class: 415V. Standard: IEC 60947. Manufacturer: ABB.,ELC-130,Electrical Switchgear & Components,EA,ABB,Rourkela,17529.45,INR,SAP_S4,2026-05-14,MAT_05258,standard_included
CPCL,CPC-ELE-708790,FUSE POLYAMIDE NOMINAL BORE 16 CLASS 415V IEC 60947,Application: industrial service. Material: Polyamide. Size: 16 mm. Pressure class: 415V. Standard: IEC 60947. ,ELC-130,Electrical Switchgear & Components,NOS,,Ennore,15961.39,INR,SAP_MM,2018-02-13,MAT_07881,verbose
NTPC,NTP-FAS-704628,HEX NUT ASTM A193 B7,Application: industrial service. Material: ASTM A193 B7. Size: 30 mm. Standard: IS 1364. ,FST-90,Fasteners,PCS,Precision Fasteners,Korba,588.69,INR,SAP_ECC,2015-10-03,MAT_03719,partial_description
IOCL,IOC-BEA-706343,22200 DEEP GROOVE BALL BEARING BORE 40MM ISO 199 MFR FAG,Application: industrial service. Material: Bearing Steel. Size: 40 mm. Standard: ISO 199. Manufacturer: FAG.,BRG-40,Rotating Equipment Bearings,NOS,FAG,Gujarat,7335.77,INR,LEGACY_ERP,2018-02-24,MAT_05434,vendor_included
SAIL,STL-FIL-704736,DN20 ISO 16889 SS316 HYDRAULIC FILTER,Application: industrial service. Material: SS316. Size: 20 mm. Standard: ISO 16889. ,FLT-100,Filtration Materials,PCS,Parker,Rourkela,9207.12,INR,SAP_ECC,2015-05-27,MAT_03827,reordered
ONGC,OGC-ELE-700624,CENTRIFUAL PUMP CAST IRON/SS 80MM IS 5120,Application: industrial service. Material: Polyamide. Size: 100 mm. Pressure class: 415V. Standard: IEC 60898. ,ELC-130,Electrical Switchgear & Components,EA,Siemens,Ahmedabad,32232.44,INR,LEGACY_ERP,2021-06-19,MAT_00576,typo_injected
